Year,Discount Factor,Capital,Replacement,Salvage,O&M,Total
0,1.0,-49500.0,-0.0,0.0,-0.0,-49500.0
1,0.944,-0.0,-0.0,0.0,-850.0,-850.0
2,0.892,-0.0,-0.0,0.0,-803.0,-803.0
3,0.842,-0.0,-0.0,0.0,-758.0,-758.0
4,0.796,-0.0,-0.0,0.0,-716.0,-716.0
5,0.751,-0.0,-0.0,0.0,-676.0,-676.0
6,0.71,-0.0,-0.0,0.0,-639.0,-639.0
7,0.67,-0.0,-0.0,0.0,-603.0,-603.0
8,0.633,-0.0,-0.0,0.0,-570.0,-570.0
9,0.598,-0.0,-0.0,0.0,-538.0,-538.0
10,0.565,-0.0,-0.0,0.0,-508.0,-508.0
11,0.533,-0.0,-0.0,0.0,-480.0,-480.0
12,0.504,-0.0,-0.0,0.0,-454.0,-454.0
13,0.476,-0.0,-0.0,0.0,-428.0,-428.0
14,0.449,-0.0,-0.0,0.0,-404.0,-404.0
15,0.424,-0.0,-20988.0,0.0,-0.0,-20988.0
15,0.424,-0.0,-0.0,0.0,-382.0,-382.0
16,0.401,-0.0,-0.0,0.0,-361.0,-361.0
17,0.378,-0.0,-0.0,0.0,-340.0,-340.0
18,0.357,-0.0,-0.0,0.0,-321.0,-321.0
19,0.338,-0.0,-0.0,0.0,-304.0,-304.0
20,0.319,-0.0,-0.0,0.0,-287.0,-287.0
21,0.301,-0.0,-0.0,0.0,-271.0,-271.0
22,0.284,-0.0,-0.0,0.0,-256.0,-256.0
23,0.269,-0.0,-0.0,0.0,-242.0,-242.0
24,0.254,-0.0,-0.0,0.0,-229.0,-229.0
25,0.24,-0.0,-0.0,3960.0,-216.0,3744.0
