Year,Discount Factor,Capital,Replacement,Salvage,O&M,Total
0,1.0,-180000.0,-0.0,0.0,-0.0,-180000.0
1,0.944,-0.0,-0.0,0.0,-1699.0,-1699.0
2,0.892,-0.0,-0.0,0.0,-1606.0,-1606.0
3,0.842,-0.0,-0.0,0.0,-1516.0,-1516.0
4,0.796,-0.0,-0.0,0.0,-1433.0,-1433.0
5,0.751,-0.0,-0.0,0.0,-1352.0,-1352.0
6,0.71,-0.0,-0.0,0.0,-1278.0,-1278.0
7,0.67,-0.0,-0.0,0.0,-1206.0,-1206.0
8,0.633,-0.0,-0.0,0.0,-1139.0,-1139.0
9,0.598,-0.0,-0.0,0.0,-1076.0,-1076.0
10,0.565,-0.0,-0.0,0.0,-1017.0,-1017.0
11,0.533,-0.0,-0.0,0.0,-959.0,-959.0
12,0.504,-0.0,-0.0,0.0,-907.0,-907.0
13,0.476,-0.0,-0.0,0.0,-857.0,-857.0
14,0.449,-0.0,-0.0,0.0,-808.0,-808.0
15,0.424,-0.0,-0.0,0.0,-763.0,-763.0
16,0.401,-0.0,-0.0,0.0,-722.0,-722.0
17,0.378,-0.0,-0.0,0.0,-680.0,-680.0
18,0.357,-0.0,-0.0,0.0,-643.0,-643.0
19,0.338,-0.0,-0.0,0.0,-608.0,-608.0
20,0.319,-0.0,-57420.0,0.0,-0.0,-57420.0
20,0.319,-0.0,-0.0,0.0,-574.0,-574.0
21,0.301,-0.0,-0.0,0.0,-542.0,-542.0
22,0.284,-0.0,-0.0,0.0,-511.0,-511.0
23,0.269,-0.0,-0.0,0.0,-484.0,-484.0
24,0.254,-0.0,-0.0,0.0,-457.0,-457.0
25,0.24,-0.0,-0.0,32400.0,-432.0,31968.0
